"Exam Name","Minimum Score Required","Number of Credit","Equivalent Course"
"AP 2-D Art and Design","3","3","ART 2XXX"
"AP 3-D Art and Design","3","3","ART 2XXX"
"AP Art History","3","3","ART 2385"
"AP Art History","4","6","ART 2385 & 2386"
"AP Biology","3","3","BIOL 1014"
"AP Biology","4","8","BIOL 1105. 1106, 1115, 1116"
"AP Calculus AB","4","7","MATH 1225 & 1026"
"AP Calculus AB","3","6","MATH 1025 & 1026"
"AP Calculus BC","4","8","MATH 1225 & 1226"
"AP Calculus BC","3","7","MATH 1225 & 1026"
"AP Chemistry","4","8","CHEM 1035, 1045, 1036 & 1046"
"AP Chemistry","3","8","CHEM 1015, 1016, 1025, & 1026"
"AP Chinese Language and Culture","3","3","CHN 2XXX(ELECTIVE)"
"AP Chinese Language and Culture","4","3","CHN 3XXX(ELECTIVE)"
"AP Chinese Language and Culture","5","6","CHN 3XXX(ELECTIVE) &
CHN 3XXX(ELECTIVE)"
"AP Comparative Government and Politics","3","3","PSCI 1024"
"AP Comparative Government and Politics","4","3","PSCI 1024"
"AP Computer Science A","3","3","CS 1114"
"AP Computer Science Principles","3","3","MASC 1XXX (ELECTIVE)"
"AP Drawing","3","3","ART 1404"
"AP English Language and Composition","4","6","ENGL 1105 & 1106"
"AP English Language and Composition","3","3","ENGL 1105"
"AP English Literature and Composition","3","3","ENGL 1105"
"AP English Literature and Composition","4","6","ENGL 1105 & 1106"
"AP Environmental Science","3","3","ENSC 1015"
"AP European History","4","6","HIST 1025 & 1026"
"AP European History","3","3","HIST 1025"
"AP French Language and Culture","3","3","FR 2XXX(ELECTIVE)"
"AP French Language and Culture","5","6","FR 3XXX(ELECTIVE) &
FR 3XXX(ELECTIVE)"
"AP German Language and Culture","3","3","GER 2XXX(ELECTIVE)"
"AP German Language and Culture","4","3","GER 3XXX(ELECTIVE)"
"AP German Language and Culture","5","6","GER 3XXX &
GER 3XXX"
"AP Human Geography","3","3","GEOG 1004"
"AP Italian Language and Culture","3","3","ITAL 2XXX"
"AP Italian Language and Culture","5","6","ITAL 3XXX &
ITAL 3XXX"
"AP Japanese Language and Culture","3","3","JPN 2XXX(ELECTIVE)"
"AP Japanese Language and Culture","5","6","JPN 3XXX & JPN 3XXX"
"AP Latin","3","3","LAT 2XXX(ELECTIVE)"
"AP Macroeconomics","3","3","ECON 1XXA(ELECTIVE)"
"AP Macroeconomics","4","3","ECON 2006"
"AP Microeconomics","3","","ECON 1XXX(ELECTIVE)"
"AP Microeconomics","4","3","ECON 2005"
"AP Music Theory","4","6","MUS 2025 & 2026"
"AP Music Theory","3","3","MUS 2025"
"AP Physics 1","3","4","PHYS 2205 & 2215"
"AP Physics 2","3","4","PHYS 2206 & 2216"
"AP Physics C: Electricity and Magnetism","3","4","PHYS 2206 and PHYS 2216"
"AP Physics C: Electricity and Magnetism","4","4","PHYS 2306"
"AP Physics C: Mechanics","4","4","PHYS 2305"
"AP Physics C: Mechanics","3","4","PHYS 2205 & 2215"
"AP Precalculus","3","3","MATH 1014"
"AP Psychology","3","3","PSYC 1004"
"AP Research","3","3","VT 1XXX(ELECTIVE)"
"AP Seminar","3","3","VT 1XXX(ELECTIVE)"
"AP Spanish Language and Culture","3","3","SPAN 2XXX(ELECTIVE)"
"AP Spanish Language and Culture","4","3","SPAN 3XXX(ELECTIVE)"
"AP Spanish Language and Culture","5","6","SPAN 3XXX & SPAN 3XXX"
"AP Spanish Literature and Culture","3","3","SPAN 2XXX(ELECTIVE)"
"AP Spanish Literature and Culture","4","6","SPAN 3XXX & SPAN 3XXX"
"AP Statistics","3","3","STAT 2004"
"AP Statistics","5","3","STAT 3604"
"AP United States Government and Politics","4","3","PSCI 1014"
"AP United States History","3","3","HIST 1115"
"AP United States History","4","6","HIST 1115 & 1116"
"AP World History: Modern","3","3","HIST 1215"
"AP World History: Modern","4","6","HIST 1215 & 1216"